titre,discipline_code,discipline,rang_fnege_2025,pissn,eissn,issn_cle,slug
"GENDER, WORK AND ORGANIZATION",HRM,GRH,2,0968-6673,1468-0432,1468-0432,gender-work-and-organization
GROUP AND ORGANIZATION MANAGEMENT,HRM,GRH,2,1059-6011,1552-3993,1552-3993,group-and-organization-management
HUMAN RESOURCE MANAGEMENT REVIEW,HRM,GRH,2,1053-4822,1873-7889,1873-7889,human-resource-management-review
ILR REVIEW (INDUSTRIAL AND LABOR RELATIONS REVIEW),HRM,GRH,2,0019-7939,2162-271X,2162-271X,ilr-review-industrial-and-labor-relations-review
INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,HRM,GRH,2,0958-5192,1466-4399,1466-4399,international-journal-of-human-resource-management
JOURNAL OF BEHAVIORAL DECISION MAKING,HRM,GRH,2,0894-3257,1099-0771,1099-0771,journal-of-behavioral-decision-making
JOURNAL OF CONFLICT RESOLUTION,HRM,GRH,2,0022-0027,1552-8766,1552-8766,journal-of-conflict-resolution
JOURNAL OF HUMAN RESOURCES,HRM,GRH,2,0022-166X,1548-8004,1548-8004,journal-of-human-resources
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,HRM,GRH,2,0963-1798,2044-8325,2044-8325,journal-of-occupational-and-organizational-psychology
JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,HRM,GRH,2,1076-8998,1939-1307,1939-1307,journal-of-occupational-health-psychology
LABOUR ECONOMICS,HRM,GRH,2,0927-5371,1879-1034,1879-1034,labour-economics
"NEW TECHNOLOGY, WORK AND EMPLOYMENT",HRM,GRH,2,0268-1072,1468-005X,1468-005X,new-technology-work-and-employment
REVUE DE GESTION DES RESSOURCES HUMAINES (RGRH),HRM,GRH,2,1163-913X,2271-2186,2271-2186,revue-de-gestion-des-ressources-humaines-rgrh
SOCIO-ECONOMIC REVIEW,HRM,GRH,2,1475-1461,1475-147X,1475-147X,socio-economic-review
"WORK, EMPLOYMENT AND SOCIETY",HRM,GRH,2,0950-0170,1469-8722,1469-8722,work-employment-and-society
"BUSINESS ETHICS, THE ENVIRONMENT & RESPONSIBILITY",HRM,GRH,3,0962-8770,1467-8608,1467-8608,business-ethics-the-environment-and-responsibility
ECONOMIC AND INDUSTRIAL DEMOCRACY,HRM,GRH,3,0143-831X,1461-7099,1461-7099,economic-and-industrial-democracy
EMPLOYEE RELATIONS,HRM,GRH,3,0142-5455,1758-7069,1758-7069,employee-relations
EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,HRM,GRH,3,0959-6801,1461-7129,1461-7129,european-journal-of-industrial-relations
EUROPEAN JOURNAL OF WORK & ORGANIZATIONAL PSYCHOLOGY,HRM,GRH,3,1359-432X,1464-0643,1464-0643,european-journal-of-work-and-organizational-psychology
GROUP DECISION AND NEGOTIATION,HRM,GRH,3,0926-2644,1572-9907,1572-9907,group-decision-and-negotiation
HUMAN PERFORMANCE,HRM,GRH,3,0895-9285,1532-7043,1532-7043,human-performance
INTERNATIONAL JOURNAL OF MANPOWER,HRM,GRH,3,0143-7720,1758-6577,1758-6577,international-journal-of-manpower
INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT,HRM,GRH,3,0965-075X,1468-2389,1468-2389,international-journal-of-selection-and-assessment
INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,HRM,GRH,3,0020-8523,1461-7226,1461-7226,international-review-of-administrative-sciences
JOURNAL OF BUSINESS AND PSYCHOLOGY,HRM,GRH,3,0889-3268,1573-353X,1573-353X,journal-of-business-and-psychology
JOURNAL OF CAREER ASSESSMENT,HRM,GRH,3,1069-0727,1552-4590,1552-4590,journal-of-career-assessment
JOURNAL OF ECONOMIC PSYCHOLOGY,HRM,GRH,3,0167-4870,1872-7719,1872-7719,journal-of-economic-psychology
JOURNAL OF MANAGERIAL PSYCHOLOGY,HRM,GRH,3,0268-3946,1758-7778,1758-7778,journal-of-managerial-psychology
PERSONNEL REVIEW,HRM,GRH,3,0048-3486,1758-6933,1758-6933,personnel-review
RELATIONS INDUSTRIELLES,HRM,GRH,3,0034-379X,1703-8138,1703-8138,relations-industrielles
WORK AND OCCUPATIONS,HRM,GRH,3,0730-8884,1552-8464,1552-8464,work-and-occupations
WORK AND STRESS,HRM,GRH,3,0267-8373,1464-5335,1464-5335,work-and-stress
BUSINESS HISTORY,BUS HIST,Histoire des affaires,2,0007-6791,1743-7938,1743-7938,business-history
BUSINESS HISTORY REVIEW,BUS HIST,Histoire des affaires,2,0007-6805,2044-768X,2044-768X,business-history-review
ACCOUNTING HISTORY,BUS HIST,Histoire des affaires,3,1032-3732,1749-3374,1749-3374,accounting-history
"ACCOUNTING HISTORY REVIEW (FORMERLY: ACCOUNTING, BUSINESS AND FINANCIAL HISTORY)",BUS HIST,Histoire des affaires,3,2155-2851,2155-286X,2155-286X,accounting-history-review-formerly-accounting-business-and-financial-history
ENTERPRISE & SOCIETY,BUS HIST,Histoire des affaires,3,1467-2227,1467-2235,1467-2235,enterprise-and-society
EUROPEAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,BUS HIST,Histoire des affaires,3,0967-2567,1469-5936,1469-5936,european-journal-of-the-history-of-economic-thought
HISTORY OF POLITICAL ECONOMY,BUS HIST,Histoire des affaires,3,0018-2702,1527-1919,1527-1919,history-of-political-economy
ENTREPRENEURSHIP THEORY AND PRACTICE,INNOV,Innovation,1*,1042-2587,1540-6520,1540-6520,entrepreneurship-theory-and-practice
JOURNAL OF BUSINESS VENTURING,INNOV,Innovation,1*,0883-9026,1873-2003,1873-2003,journal-of-business-venturing
RESEARCH POLICY,INNOV,Innovation,1*,0048-7333,1873-7625,1873-7625,research-policy
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,INNOV,Innovation,1,0737-6782,1540-5885,1540-5885,journal-of-product-innovation-management
STRATEGIC ENTREPRENEURSHIP JOURNAL,INNOV,Innovation,1,1932-4391,1932-443X,1932-443X,strategic-entrepreneurship-journal
