titre,discipline_code,discipline,rang_fnege_2025,pissn,eissn,issn_cle,slug,editeur,openalex_id,nom_openalex
STUDIES IN HIGHER EDUCATION,EDUC,Enseignement,3,0307-5079,1470-174X,1470-174X,studies-in-higher-education,Routledge,https://openalex.org/S162196882,Studies in Higher Education
AMERICAN JOURNAL OF SOCIOLOGY,BUS SOC,Entreprise et société,1,0002-9602,1537-5390,1537-5390,american-journal-of-sociology,University of Chicago Press,https://openalex.org/S122471516,American Journal of Sociology
AMERICAN SOCIOLOGICAL REVIEW,BUS SOC,Entreprise et société,1,0003-1224,1939-8271,1939-8271,american-sociological-review,SAGE Publishing,https://openalex.org/S157620343,American Sociological Review
ECONOMIC GEOGRAPHY,BUS SOC,Entreprise et société,1,0013-0095,1944-8287,1944-8287,economic-geography,Taylor & Francis,https://openalex.org/S38825547,Economic Geography
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,BUS SOC,Entreprise et société,1,0095-0696,1096-0449,1096-0449,journal-of-environmental-economics-and-management,Elsevier BV,https://openalex.org/S200872515,Journal of Environmental Economics and Management
ANNUAL REVIEW OF SOCIOLOGY,BUS SOC,Entreprise et société,2,0360-0572,1545-2115,1545-2115,annual-review-of-sociology,Annual Reviews,https://openalex.org/S61274580,Annual Review of Sociology
BUSINESS AND SOCIETY,BUS SOC,Entreprise et société,2,0007-6503,1552-4205,1552-4205,business-and-society,SAGE Publishing,https://openalex.org/S44376543,Business & Society
ECOLOGICAL ECONOMICS,BUS SOC,Entreprise et société,2,1873-6106,1989-2021,1989-2021,ecological-economics,Elsevier BV,https://openalex.org/S136211407,Ecological Economics
ENVIRONMENTAL AND RESOURCE ECONOMICS,BUS SOC,Entreprise et société,2,0924-6460,1573-1502,1573-1502,environmental-and-resource-economics,Springer Science+Business Media,https://openalex.org/S86125002,Environmental and Resource Economics
GENDER AND SOCIETY,BUS SOC,Entreprise et société,2,0891-2432,1552-3977,1552-3977,gender-and-society,SAGE Publishing,https://openalex.org/S113116626,Gender & Society
GLOBAL ENVIRONMENTAL CHANGE,BUS SOC,Entreprise et société,2,0959-3780,1872-9495,1872-9495,global-environmental-change,Elsevier BV,https://openalex.org/S130750583,Global Environmental Change
JOURNAL OF ECONOMIC GEOGRAPHY,BUS SOC,Entreprise et société,2,1468-2702,1468-2710,1468-2710,journal-of-economic-geography,Oxford University Press,https://openalex.org/S46039370,Journal of Economic Geography
JOURNAL OF ENVIRONMENTAL MANAGEMENT,BUS SOC,Entreprise et société,2,0301-4797,1095-8630,1095-8630,journal-of-environmental-management,Elsevier BV,https://openalex.org/S44455300,Journal of Environmental Management
REVUE DE L'ORGANISATION RESPONSABLE (ROR),BUS SOC,Entreprise et société,2,1951-0187,2105-3022,2105-3022,revue-de-l-organisation-responsable-ror,,https://openalex.org/S4210209230,Revue de l’organisation responsable
SOCIOLOGY,BUS SOC,Entreprise et société,2,0038-0385,1469-8684,1469-8684,sociology,SAGE Publishing,https://openalex.org/S79135273,Sociology
BRITISH JOURNAL OF SOCIOLOGY,BUS SOC,Entreprise et société,3,0007-1315,1468-4446,1468-4446,british-journal-of-sociology,Wiley,https://openalex.org/S173252385,British Journal of Sociology
"""BUSINESS ETHICS"," THE ENVIRONMENT AND RESPONSIBILITY""",BUS SOC,Entreprise et société,3,2694-6416,2694-6424,2694-6424,Wiley,https://openalex.org/S4210218449,Business Ethics the Environment & Responsibility
DEVELOPMENT AND CHANGE,BUS SOC,Entreprise et société,3,0012-155X,1467-7660,1467-7660,development-and-change,Wiley,https://openalex.org/S137192870,Development and Change
ECONOMY AND SOCIETY,BUS SOC,Entreprise et société,3,0308-5147,1469-5766,1469-5766,economy-and-society,Taylor & Francis,https://openalex.org/S25250876,Economy and Society
JOURNAL OF INDUSTRIAL ECOLOGY,BUS SOC,Entreprise et société,3,1088-1980,1530-9290,1530-9290,journal-of-industrial-ecology,Wiley,https://openalex.org/S203731762,Journal of Industrial Ecology
JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS,BUS SOC,Entreprise et société,3,2333-5955,2333-5963,2333-5963,journal-of-the-association-of-environmental-and-resource-economists,University of Chicago Press,https://openalex.org/S2735550652,Journal of the Association of Environmental and Resource Economists
KYKLOS,BUS SOC,Entreprise et société,3,0023-5962,1467-6435,1467-6435,kyklos,Wiley,https://openalex.org/S91661715,Kyklos
SOCIAL FORCES,BUS SOC,Entreprise et société,3,0037-7732,1534-7605,1534-7605,social-forces,Oxford University Press,https://openalex.org/S130611943,Social Forces
"""THEORY"," CULTURE AND SOCIETY""",BUS SOC,Entreprise et société,3,0263-2764,1460-3616,1460-3616,SAGE Publishing,https://openalex.org/S77333486,Theory Culture & Society
AMERICAN ECONOMIC REVIEW,FIN,Finance,1*,0002-8282,1944-7981,1944-7981,american-economic-review,American Economic Association,https://openalex.org/S23254222,American Economic Review
ECONOMETRICA,FIN,Finance,1*,0012-9682,1468-0262,1468-0262,econometrica,Wiley,https://openalex.org/S95464858,Econometrica
JOURNAL OF FINANCE,FIN,Finance,1*,0022-1082,1540-6261,1540-6261,journal-of-finance,Wiley,https://openalex.org/S5353659,The Journal of Finance
JOURNAL OF FINANCIAL ECONOMICS,FIN,Finance,1*,0304-405X,0304-405X,0304-405X,journal-of-financial-economics,Elsevier BV,https://openalex.org/S149240962,Journal of Financial Economics
REVIEW OF FINANCIAL STUDIES,FIN,Finance,1*,0893-9454,1465-7368,1465-7368,review-of-financial-studies,Oxford University Press,https://openalex.org/S170137484,Review of Financial Studies
JOURNAL OF BANKING AND FINANCE,FIN,Finance,1,0378-4266,1872-6372,1872-6372,journal-of-banking-and-finance,Elsevier BV,https://openalex.org/S2876017,Journal of Banking & Finance
JOURNAL OF BUSINESS AND ECONOMIC STATISTICS,FIN,Finance,1,0735-0015,1537-2707,1537-2707,journal-of-business-and-economic-statistics,Taylor & Francis,https://openalex.org/S18095783,Journal of Business and Economic Statistics
"""JOURNAL OF CORPORATE FINANCE: CONTRACTING"," GOVERNANCE AND ORGANIZATION""",FIN,Finance,1,0929-1199,1872-6313,1872-6313,Elsevier BV,https://openalex.org/S152282257,Journal of Corporate Finance
JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,FIN,Finance,1,0022-1090,1756-6916,1756-6916,journal-of-financial-and-quantitative-analysis,Cambridge University Press,https://openalex.org/S193228710,Journal of Financial and Quantitative Analysis
JOURNAL OF FINANCIAL INTERMEDIATION,FIN,Finance,1,1042-9573,1096-0473,1096-0473,journal-of-financial-intermediation,Elsevier BV,https://openalex.org/S5984737,Journal of Financial Intermediation
"""JOURNAL OF MONEY"," CREDIT AND BANKING""",FIN,Finance,1,0022-2879,1538-4616,1538-4616,Wiley,https://openalex.org/S2058785,Journal of money credit and banking
REVIEW OF FINANCE,FIN,Finance,1,1572-3097,1573-692X,1573-692X,review-of-finance,Oxford University Press,https://openalex.org/S49857371,European Finance Review
FINANCE,FIN,Finance,2,0752-6180,2101-0145,2101-0145,finance,,https://openalex.org/S4210180542,Finance
FINANCE AND STOCHASTICS,FIN,Finance,2,0949-2984,1432-1122,1432-1122,finance-and-stochastics,Springer Science+Business Media,https://openalex.org/S172526255,Finance and Stochastics
FINANCIAL ANALYSTS JOURNAL,FIN,Finance,2,0015-198X,1938-3312,1938-3312,financial-analysts-journal,Taylor & Francis,https://openalex.org/S162525099,Financial Analysts Journal
FINANCIAL MANAGEMENT,FIN,Finance,2,0046-3892,1755-053X,1755-053X,financial-management,Wiley,https://openalex.org/S157946625,Financial Management
JOURNAL OF EMPIRICAL FINANCE,FIN,Finance,2,0927-5398,1879-1727,1879-1727,journal-of-empirical-finance,Elsevier BV,https://openalex.org/S145875555,Journal of Empirical Finance
JOURNAL OF FINANCIAL ECONOMETRICS,FIN,Finance,2,1479-8409,1479-8417,1479-8417,journal-of-financial-econometrics,Oxford University Press,https://openalex.org/S207154782,Journal of Financial Econometrics
JOURNAL OF FINANCIAL MARKETS,FIN,Finance,2,1386-4181,1878-576X,1878-576X,journal-of-financial-markets,Elsevier BV,https://openalex.org/S127646213,Journal of Financial Markets
JOURNAL OF FINANCIAL STABILITY,FIN,Finance,2,1572-3089,1878-0962,1878-0962,journal-of-financial-stability,Elsevier BV,https://openalex.org/S121634618,Journal of Financial Stability
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,FIN,Finance,2,0261-5606,1873-0639,1873-0639,journal-of-international-money-and-finance,Elsevier BV,https://openalex.org/S10747938,Journal of International Money and Finance
JOURNAL OF RISK AND INSURANCE,FIN,Finance,2,0022-4367,1539-6975,1539-6975,journal-of-risk-and-insurance,Wiley,https://openalex.org/S116483603,Journal of Risk & Insurance
JOURNAL OF RISK AND UNCERTAINTY,FIN,Finance,2,0895-5646,1573-0476,1573-0476,journal-of-risk-and-uncertainty,Springer Science+Business Media,https://openalex.org/S106686155,Journal of Risk and Uncertainty
MATHEMATICAL FINANCE,FIN,Finance,2,0960-1627,1467-9965,1467-9965,mathematical-finance,Wiley,https://openalex.org/S133335107,Mathematical Finance
REVIEW OF CORPORATE FINANCE STUDIES,FIN,Finance,2,2046-9136,2046-9136,2046-9136,review-of-corporate-finance-studies,Oxford University Press,https://openalex.org/S2736251538,The Review of Corporate Finance Studies
APPLIED ECONOMICS,FIN,Finance,3,0003-6846,1466-4283,1466-4283,applied-economics,Taylor & Francis,https://openalex.org/S201533460,Applied Economics
ASTIN BULLETIN,FIN,Finance,3,0515-0361,1783-1350,1783-1350,astin-bulletin,Cambridge University Press,https://openalex.org/S92223472,Astin Bulletin
ECONOMIC MODELLING,FIN,Finance,3,0264-9993,1873-6122,1873-6122,economic-modelling,Elsevier BV,https://openalex.org/S141184754,Economic Modelling
EMERGING MARKETS REVIEW,FIN,Finance,3,1566-0141,1873-6173,1873-6173,emerging-markets-review,Elsevier BV,https://openalex.org/S197112600,Emerging Markets Review
EUROPEAN FINANCIAL MANAGEMENT,FIN,Finance,3,1354-7798,1468-036X,1468-036X,european-financial-management,Wiley,https://openalex.org/S131852005,European Financial Management
